Time: 20171030-081803  Ask: 5257.00000  Vol: 0.045  Time: 20171030-081755  Bid: 5254.50000  Vol: 0.009
Time: 20171030-081903  Ask: 5254.30000  Vol: 0.554  Time: 20171030-081900  Bid: 5254.00000  Vol: 0.150
Time: 20171030-082009  Ask: 5253.40000  Vol: 0.323  Time: 20171030-081956  Bid: 5252.60000  Vol: 0.008
Time: 20171030-082157  Ask: 5252.00000  Vol: 0.581  Time: 20171030-082208  Bid: 5250.20000  Vol: 0.344
Time: 20171030-082303  Ask: 5251.50000  Vol: 2.643  Time: 20171030-082302  Bid: 5250.30000  Vol: 0.005
Time: 20171030-082401  Ask: 5251.40000  Vol: 0.025  Time: 20171030-082403  Bid: 5245.50000  Vol: 0.144
Time: 20171030-082449  Ask: 5250.90000  Vol: 0.020  Time: 20171030-082439  Bid: 5250.20000  Vol: 0.004
Time: 20171030-082608  Ask: 5256.00000  Vol: 0.021  Time: 20171030-082609  Bid: 5252.30000  Vol: 0.167
Time: 20171030-082654  Ask: 5255.00000  Vol: 0.010  Time: 20171030-082702  Bid: 5252.30000  Vol: 0.066
Time: 20171030-082810  Ask: 5254.40000  Vol: 0.147  Time: 20171030-082801  Bid: 5251.70000  Vol: 0.080
Time: 20171030-082832  Ask: 5250.00000  Vol: 1.775  Time: 20171030-082859  Bid: 5246.20000  Vol: 0.202
Time: 20171030-083000  Ask: 5249.90000  Vol: 0.077  Time: 20171030-083006  Bid: 5245.70000  Vol: 0.255
Time: 20171030-083056  Ask: 5245.00000  Vol: 1.927  Time: 20171030-083107  Bid: 5244.00000  Vol: 0.334
Time: 20171030-083207  Ask: 5244.00000  Vol: 0.449  Time: 20171030-083109  Bid: 5236.70000  Vol: 0.005
Time: 20171030-083309  Ask: 5242.70000  Vol: 0.331  Time: 20171030-083309  Bid: 5240.10000  Vol: 0.190
Time: 20171030-083359  Ask: 5239.50000  Vol: 0.143  Time: 20171030-074537  Bid: 5236.10000  Vol: 0.022
Time: 20171030-083446  Ask: 5240.00000  Vol: 8.347  Time: 20171030-083508  Bid: 5240.00000  Vol: 11.491
Time: 20171030-083553  Ask: 5240.10000  Vol: 1.353  Time: 20171030-083539  Bid: 5240.00000  Vol: 4.042
Time: 20171030-083702  Ask: 5243.20000  Vol: 0.982  Time: 20171030-083707  Bid: 5240.10000  Vol: 0.016
Time: 20171030-083808  Ask: 5239.90000  Vol: 0.025  Time: 20171030-083809  Bid: 5231.70000  Vol: 0.200
Time: 20171030-083905  Ask: 5239.90000  Vol: 0.525  Time: 20171030-083857  Bid: 5235.00000  Vol: 0.005
Time: 20171030-084001  Ask: 5239.40000  Vol: 0.632  Time: 20171030-083857  Bid: 5235.00000  Vol: 0.005
Time: 20171030-084101  Ask: 5238.80000  Vol: 0.050  Time: 20171030-084056  Bid: 5235.00000  Vol: 0.103
