20171030-081803 5257.00000 0.045 20171030-081755 5254.50000 0.009
20171030-081903 5254.30000 0.554 20171030-081900 5254.00000 0.150
20171030-082009 5253.40000 0.323 20171030-081956 5252.60000 0.008
20171030-082157 5252.00000 0.581 20171030-082208 5250.20000 0.344
20171030-082303 5251.50000 2.643 20171030-082302 5250.30000 0.005
20171030-082401 5251.40000 0.025 20171030-082403 5245.50000 0.144
20171030-082449 5250.90000 0.020 20171030-082439 5250.20000 0.004
20171030-082608 5256.00000 0.021 20171030-082609 5252.30000 0.167
20171030-082654 5255.00000 0.010 20171030-082702 5252.30000 0.066
20171030-082810 5254.40000 0.147 20171030-082801 5251.70000 0.080
20171030-082832 5250.00000 1.775 20171030-082859 5246.20000 0.202
20171030-083000 5249.90000 0.077 20171030-083006 5245.70000 0.255
20171030-083056 5245.00000 1.927 20171030-083107 5244.00000 0.334
20171030-083207 5244.00000 0.449 20171030-083109 5236.70000 0.005
20171030-083309 5242.70000 0.331 20171030-083309 5240.10000 0.190
20171030-083359 5239.50000 0.143 20171030-074537 5236.10000 0.022
20171030-083446 5240.00000 8.347 20171030-083508 5240.00000 11.491
20171030-083553 5240.10000 1.353 20171030-083539 5240.00000 4.042
20171030-083702 5243.20000 0.982 20171030-083707 5240.10000 0.016
20171030-083808 5239.90000 0.025 20171030-083809 5231.70000 0.200
20171030-083905 5239.90000 0.525 20171030-083857 5235.00000 0.005
20171030-084001 5239.40000 0.632 20171030-083857 5235.00000 0.005
20171030-084101 5238.80000 0.050 20171030-084056 5235.00000 0.103
